seconds,sensor_0,sensor_1,actuator_0,target
35.1000,26.4040,26.1750,30.0000,"25.0"
35.1400,26.4040,26.1500,30.0000,"25.0"
35.1600,26.4300,26.1500,30.0000,"25.0"
35.2000,26.4300,26.1750,30.0000,"25.0"
35.2200,26.4300,26.1750,30.0000,"25.0"
35.2600,26.4300,26.1500,30.0000,"25.0"
35.2800,26.4040,26.1750,30.0000,"25.0"
35.3200,26.4300,26.1750,30.0000,"25.0"
35.3400,26.4040,26.1500,30.0000,"25.0"
35.3800,26.4300,26.1750,30.0000,"25.0"
35.4000,26.4300,26.1750,30.0000,"25.0"
35.4400,26.4300,26.1750,30.0000,"25.0"
35.4600,26.4040,26.1750,30.0000,"25.0"
35.5000,26.4300,26.1750,30.0000,"25.0"
35.5200,26.4300,26.1750,30.0000,"25.0"
35.5600,26.4300,26.1500,30.0000,"25.0"
35.5800,26.4300,26.1750,30.0000,"25.0"
35.6200,26.4300,26.1750,30.0000,"25.0"
35.6400,26.4040,26.2010,30.0000,"25.0"
35.6800,26.4040,26.1750,30.0000,"25.0"
35.7000,26.4300,26.1750,30.0000,"25.0"
35.7400,26.4040,26.1750,30.0000,"25.0"
35.7600,26.4300,26.1750,30.0000,"25.0"
35.8000,26.4300,26.2010,30.0000,"25.0"
35.8200,26.4550,26.1750,30.0000,"25.0"
35.8601,26.4040,26.1750,30.0000,"25.0"
35.8800,26.4300,26.1750,30.0000,"25.0"
35.9200,26.4040,26.1750,30.0000,"25.0"
35.9400,26.4300,26.1750,30.0000,"25.0"
35.9800,26.4300,26.1750,30.0000,"25.0"
36.0000,26.4300,26.1750,30.0000,"25.0"
36.0400,26.4300,26.1750,30.0000,"25.0"
36.0800,26.4300,26.1750,30.0000,"25.0"
36.1000,26.4300,26.1750,30.0000,"25.0"
36.1400,26.4300,26.1750,30.0000,"25.0"
36.1600,26.4300,26.1750,30.0000,"25.0"
36.2000,26.4040,26.2010,30.0000,"25.0"
36.2200,26.4300,26.1750,30.0000,"25.0"
36.2600,26.4300,26.1750,30.0000,"25.0"
36.2800,26.4300,26.2010,30.0000,"25.0"
36.3200,26.4300,26.1750,30.0000,"25.0"
36.3400,26.4300,26.1750,30.0000,"25.0"
36.3800,26.4300,26.2010,30.0000,"25.0"
36.4000,26.4300,26.1750,30.0000,"25.0"
36.4400,26.4300,26.2010,30.0000,"25.0"
36.4600,26.4550,26.1750,30.0000,"25.0"
36.5000,26.4300,26.1750,30.0000,"25.0"
36.5200,26.4300,26.1750,30.0000,"25.0"
